Variable,Unit,Definition
Emissions|OC|Waste|Incineration,Mt OC/yr,
Emissions|OC|Waste|Other,Mt OC/yr,
Emissions|OC|Waste|Solid Waste Disposal,Mt OC/yr,
Emissions|OC|Waste|Wastewater Treatment,Mt OC/yr,
Emissions|OCA|Energy|Demand|Industry,Mt OCA/yr,
Emissions|PFC,kt CF4-equiv/yr,"total emissions of perfluorocarbons (PFCs), provided as aggregate CF4-equivalents"
Emissions|SF6,kt SF6/yr,total emissions of sulfur hexafluoride (SF6)
Emissions|Sulfur,Mt SO2/yr,
Emissions|Sulfur|AFOLU,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Agricultural Waste Burning,Mt SO2/yr,Emissions from agricultural waste burning (IPCC 1996 category 4F; partially IPCC 2006 category 3C1)
Emissions|Sulfur|AFOLU|Agriculture,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Agriculture and Biomass Burning,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Agriculture|Livestock,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Agriculture|Livestock|Enteric Fermentation,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Agriculture|Livestock|Manure Management,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Agriculture|Managed Soils,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Agriculture|Other,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Agriculture|Rice,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Biomass Burning,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Land,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Land|Cropland,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Land|Fires,Mt SO2/yr,Emissions from land fires and deforestation & degradation fires
Emissions|Sulfur|AFOLU|Land|Fires|Forest Burning,Mt SO2/yr,"Emissions from boreal forest fires, temperate forest fires, and tropical deforestation & degradation fires"
Emissions|Sulfur|AFOLU|Land|Fires|Grassland Burning,Mt SO2/yr,"Emissions from savanna, grassland, and shrubland fires"
Emissions|Sulfur|AFOLU|Land|Fires|Peat Burning,Mt SO2/yr,Emissions from peat fires
Emissions|Sulfur|AFOLU|Land|Forest,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Land|Forest Burning,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Land|Grassland Burning,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Land|Grassland Pastures,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Land|Other,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Land|Other Land,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Land|Settlements,Mt SO2/yr,
Emissions|Sulfur|AFOLU|Land|Wetlands,Mt SO2/yr,
Emissions|Sulfur|Energy,Mt SO2/yr,
Emissions|Sulfur|Energy|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|AFOFI,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Bunkers,Mt SO2/yr,Emissions of sulfur (SO2) from international bunker fuels (IPCC category 1A3ai and 1A3di)
Emissions|Sulfur|Energy|Demand|Bunkers|International Aviation,Mt SO2/yr,Emissions of sulfur (SO2) from bunker fuels for international aviation
Emissions|Sulfur|Energy|Demand|Bunkers|International Shipping,Mt SO2/yr,Emissions of sulfur (SO2) from bunker fuels for international shipping
Emissions|Sulfur|Energy|Demand|Commercial,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Chemicals,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Construction,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Food and Tobacco,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Iron and Steel,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Machinery,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Mining,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Non-Ferrous Metals,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Non-Metallic Minerals,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Other,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Pulp and Paper,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Textile,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Transport Equipment,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Industry|Wood Products,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Other Sector,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Residential,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Residential and Commercial,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Residential and Commercial and AFOFI,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Aviation,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Aviation|Domestic,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Aviation|International,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Other Sector,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Rail,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Rail and Domestic Shipping,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Road,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Road Rail and Domestic Shipping,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Shipping,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Shipping|Domestic,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Shipping|International,Mt SO2/yr,
Emissions|Sulfur|Energy|Demand|Transportation|Shipping|International|Loading,Mt SO2/yr,
Emissions|Sulfur|Energy|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Other,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Electricity,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Electricity and Heat,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Fuel Production and Transformation,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases and Liquids Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Biomass,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Biomass|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Biomass|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Coal,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Coal|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Coal|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Extraction,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Extraction|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Extraction|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Hydrogen,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Hydrogen|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Hydrogen|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Natural Gas,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Natural Gas|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Natural Gas|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Transportation,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Transportation|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Gases|Transportation|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Heat,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Biomass,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Biomass|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Biomass|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Coal,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Coal|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Coal|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Extraction,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Extraction|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Extraction|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Natural Gas,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Natural Gas|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Natural Gas|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Oil,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Oil|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Oil|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Transportation,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Transportation|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Liquids|Transportation|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Other,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Other|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Other|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids and Other Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Biomass,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Biomass|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Biomass|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Coal,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Coal|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Coal|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Extraction,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Extraction|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Extraction|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Transportation,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Transportation|Combustion,Mt SO2/yr,
Emissions|Sulfur|Energy|Supply|Solids|Transportation|Fugitive,Mt SO2/yr,
Emissions|Sulfur|Fossil Fuel Fires,Mt SO2/yr,
Emissions|Sulfur|Fossil Fuels and Industry,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Chemicals,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Electronics,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Iron and Steel,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Metals and Minerals,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Metals and Minerals,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Non-Ferrous Metals,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Non-Ferrous Metals|Aluminun,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Non-Ferrous Metals|Other,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Non-Metallic Minerals,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Non-Metallic Minerals|Cement,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Non-Metallic Minerals|Lime,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Non-Metallic Minerals|Other,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Other Sector,Mt SO2/yr,
Emissions|Sulfur|Industrial Processes|Pulp and Paper and Food and Beverage and Wood,Mt SO2/yr,
Emissions|Sulfur|Natural,Mt SO2/yr,
Emissions|Sulfur|Natural|Other,Mt SO2/yr,
Emissions|Sulfur|Natural|Volcanoes,Mt SO2/yr,
Emissions|Sulfur|Other,Mt SO2/yr,
Emissions|Sulfur|Product Use,Mt SO2/yr,
Emissions|Sulfur|Product Use|Non-Energy Use,Mt SO2/yr,
Emissions|Sulfur|Product Use|ODS Substitutes,Mt SO2/yr,
Emissions|Sulfur|Product Use|Solvents,Mt SO2/yr,
Emissions|Sulfur|Product Use|Solvents|Chemical Products,Mt SO2/yr,
Emissions|Sulfur|Product Use|Solvents|Degreasing,Mt SO2/yr,
Emissions|Sulfur|Product Use|Solvents|Other,Mt SO2/yr,
Emissions|Sulfur|Product Use|Solvents|Paint,Mt SO2/yr,
Emissions|Sulfur|Waste,Mt SO2/yr,
Emissions|Sulfur|Waste|Biological Treatment,Mt SO2/yr,
Emissions|Sulfur|Waste|Incineration,Mt SO2/yr,
Emissions|Sulfur|Waste|Other,Mt SO2/yr,
Emissions|Sulfur|Waste|Solid Waste Disposal,Mt SO2/yr,
Emissions|Sulfur|Waste|Wastewater Treatment,Mt SO2/yr,
Emissions|VOC,Mt VOC/yr,
Emissions|VOC|AFOLU,Mt VOC/yr,
Emissions|VOC|AFOLU|Agricultural Waste Burning,Mt VOC/yr,Emissions from agricultural waste burning (IPCC 1996 category 4F; partially IPCC 2006 category 3C1)
Emissions|VOC|AFOLU|Agriculture,Mt VOC/yr,
Emissions|VOC|AFOLU|Agriculture and Biomass Burning,Mt VOC/yr,
Emissions|VOC|AFOLU|Agriculture|Livestock,Mt VOC/yr,
Emissions|VOC|AFOLU|Agriculture|Livestock|Enteric Fermentation,Mt VOC/yr,
Emissions|VOC|AFOLU|Agriculture|Livestock|Manure Management,Mt VOC/yr,
Emissions|VOC|AFOLU|Agriculture|Managed Soils,Mt VOC/yr,
Emissions|VOC|AFOLU|Agriculture|Other,Mt VOC/yr,
Emissions|VOC|AFOLU|Agriculture|Rice,Mt VOC/yr,
Emissions|VOC|AFOLU|Biomass Burning,Mt VOC/yr,
Emissions|VOC|AFOLU|Land,Mt VOC/yr,
Emissions|VOC|AFOLU|Land|Cropland,Mt VOC/yr,
Emissions|VOC|AFOLU|Land|Fires,Mt VOC/yr,Emissions from land fires and deforestation & degradation fires
Emissions|VOC|AFOLU|Land|Fires|Forest Burning,Mt VOC/yr,"Emissions from boreal forest fires, temperate forest fires, and tropical deforestation & degradation fires"
Emissions|VOC|AFOLU|Land|Fires|Grassland Burning,Mt VOC/yr,"Emissions from savanna, grassland, and shrubland fires"
Emissions|VOC|AFOLU|Land|Fires|Peat Burning,Mt VOC/yr,Emissions from peat fires
Emissions|VOC|AFOLU|Land|Forest,Mt VOC/yr,
Emissions|VOC|AFOLU|Land|Forest Burning,Mt VOC/yr,
Emissions|VOC|AFOLU|Land|Grassland Burning,Mt VOC/yr,
Emissions|VOC|AFOLU|Land|Grassland Pastures,Mt VOC/yr,
Emissions|VOC|AFOLU|Land|Other,Mt VOC/yr,
Emissions|VOC|AFOLU|Land|Other Land,Mt VOC/yr,
Emissions|VOC|AFOLU|Land|Settlements,Mt VOC/yr,
Emissions|VOC|AFOLU|Land|Wetlands,Mt VOC/yr,
Emissions|VOC|Energy,Mt VOC/yr,
Emissions|VOC|Energy|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Demand,Mt VOC/yr,
Emissions|VOC|Energy|Demand|AFOFI,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Bunkers,Mt VOC/yr,Emissions of volatile organic compound from international bunker fuels (IPCC category 1A3ai and 1A3di)
Emissions|VOC|Energy|Demand|Bunkers|International Aviation,Mt VOC/yr,Emissions of volatile organic compound from bunker fuels for international aviation
Emissions|VOC|Energy|Demand|Bunkers|International Shipping,Mt VOC/yr,Emissions of volatile organic compound from bunker fuels for international shipping
Emissions|VOC|Energy|Demand|Commercial,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Chemicals,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Construction,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Food and Tobacco,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Iron and Steel,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Machinery,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Mining,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Non-Ferrous Metals,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Non-Metallic Minerals,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Other,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Pulp and Paper,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Textile,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Transport Equipment,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Industry|Wood Products,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Other Sector,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Residential,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Residential and Commercial,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Residential and Commercial and AFOFI,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Aviation,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Aviation|Domestic,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Aviation|International,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Other Sector,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Rail,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Rail and Domestic Shipping,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Road,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Road Rail and Domestic Shipping,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Shipping,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Shipping|Domestic,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Shipping|International,Mt VOC/yr,
Emissions|VOC|Energy|Demand|Transportation|Shipping|International|Loading,Mt VOC/yr,
Emissions|VOC|Energy|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Other,Mt VOC/yr,
Emissions|VOC|Energy|Supply,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Electricity,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Electricity and Heat,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Fuel Production and Transformation,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases and Liquids Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Biomass,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Biomass|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Biomass|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Coal,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Coal|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Coal|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Extraction,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Extraction|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Extraction|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Hydrogen,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Hydrogen|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Hydrogen|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Natural Gas,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Natural Gas|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Natural Gas|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Transportation,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Transportation|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Gases|Transportation|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Heat,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Biomass,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Biomass|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Biomass|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Coal,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Coal|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Coal|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Extraction,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Extraction|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Extraction|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Natural Gas,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Natural Gas|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Natural Gas|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Oil,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Oil|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Oil|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Transportation,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Transportation|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Liquids|Transportation|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Other,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Other|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Other|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids and Other Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Biomass,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Biomass|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Biomass|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Coal,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Coal|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Coal|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Extraction,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Extraction|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Extraction|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Fugitive,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Transportation,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Transportation|Combustion,Mt VOC/yr,
Emissions|VOC|Energy|Supply|Solids|Transportation|Fugitive,Mt VOC/yr,
Emissions|VOC|Fossil Fuel Fires,Mt VOC/yr,
Emissions|VOC|Fossil Fuels and Industry,Mt VOC/yr,
Emissions|VOC|Industrial Processes,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Chemicals,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Electronics,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Iron and Steel,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Metals and Minerals,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Metals and Minerals,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Non-Ferrous Metals,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Non-Ferrous Metals|Aluminun,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Non-Ferrous Metals|Other,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Non-Metallic Minerals,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Non-Metallic Minerals|Cement,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Non-Metallic Minerals|Lime,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Non-Metallic Minerals|Other,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Other Sector,Mt VOC/yr,
Emissions|VOC|Industrial Processes|Pulp and Paper and Food and Beverage and Wood,Mt VOC/yr,
Emissions|VOC|Natural,Mt VOC/yr,
Emissions|VOC|Natural|Other,Mt VOC/yr,
Emissions|VOC|Natural|Volcanoes,Mt VOC/yr,
Emissions|VOC|Other,Mt VOC/yr,
Emissions|VOC|Product Use,Mt VOC/yr,
Emissions|VOC|Product Use|Non-Energy Use,Mt VOC/yr,
Emissions|VOC|Product Use|ODS Substitutes,Mt VOC/yr,
Emissions|VOC|Product Use|Solvents,Mt VOC/yr,
Emissions|VOC|Product Use|Solvents|Chemical Products,Mt VOC/yr,
Emissions|VOC|Product Use|Solvents|Degreasing,Mt VOC/yr,
Emissions|VOC|Product Use|Solvents|Other,Mt VOC/yr,
Emissions|VOC|Product Use|Solvents|Paint,Mt VOC/yr,
Emissions|VOC|Waste,Mt VOC/yr,
Emissions|VOC|Waste|Biological Treatment,Mt VOC/yr,
Emissions|VOC|Waste|Incineration,Mt VOC/yr,
Emissions|VOC|Waste|Other,Mt VOC/yr,
Emissions|VOC|Waste|Solid Waste Disposal,Mt VOC/yr,
Emissions|VOC|Waste|Wastewater Treatment,Mt VOC/yr,
Employment,million,Number of employed inhabitants (based on ILO classification)
Employment|Agriculture,Million,Number of employed inhabitants (payrolls) in agriculture (based on ILO classification)
Employment|Industry,Million,Number of employed inhabitants (payrolls) in industry (based on ILO classification)
Employment|Industry|Energy ,Million,
Employment|Industry|Energy Intensive,Million,Number of employed inhabitants (payrolls) in energy-intensive industry (based on ILO classification)
Employment|Industry|Manufacturing,Million,
