Variable,Unit,Definition
Emissions|CO|Energy|Demand|Other Sector,Mt CO/yr,
Emissions|CO|Energy|Demand|Residential,Mt CO/yr,
Emissions|CO|Energy|Demand|Residential and Commercial,Mt CO/yr,
Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Aviation,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Aviation|Domestic,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Aviation|International,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Other Sector,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Rail,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Rail and Domestic Shipping,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Road,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Road Rail and Domestic Shipping,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Shipping,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Shipping|Domestic,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Shipping|International,Mt CO/yr,
Emissions|CO|Energy|Demand|Transportation|Shipping|International|Loading,Mt CO/yr,
Emissions|CO|Energy|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Other,Mt CO/yr,
Emissions|CO|Energy|Supply,Mt CO/yr,
Emissions|CO|Energy|Supply|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Electricity,Mt CO/yr,
Emissions|CO|Energy|Supply|Electricity and Heat,Mt CO/yr,
Emissions|CO|Energy|Supply|Fuel Production and Transformation,Mt CO/yr,
Emissions|CO|Energy|Supply|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases and Liquids Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Biomass,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Biomass|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Biomass|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Coal,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Coal|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Coal|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Extraction,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Extraction|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Extraction|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Hydrogen,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Hydrogen|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Hydrogen|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Natural Gas,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Natural Gas|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Natural Gas|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Transportation,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Transportation|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Gases|Transportation|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Heat,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Biomass,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Biomass|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Biomass|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Coal,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Coal|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Coal|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Extraction,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Extraction|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Extraction|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Natural Gas,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Natural Gas|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Natural Gas|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Oil,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Oil|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Oil|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Transportation,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Transportation|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Liquids|Transportation|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Other,Mt CO/yr,
Emissions|CO|Energy|Supply|Other|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Other|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids and Other Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Biomass,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Biomass|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Biomass|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Coal,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Coal|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Coal|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Extraction,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Extraction|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Extraction|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Fugitive,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Transportation,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Transportation|Combustion,Mt CO/yr,
Emissions|CO|Energy|Supply|Solids|Transportation|Fugitive,Mt CO/yr,
Emissions|CO|Fossil Fuel Fires,Mt CO/yr,
Emissions|CO|Fossil Fuels and Industry,Mt CO/yr,
Emissions|CO|Industrial Processes,Mt CO/yr,
Emissions|CO|Industrial Processes|Chemicals,Mt CO/yr,
Emissions|CO|Industrial Processes|Electronics,Mt CO/yr,
Emissions|CO|Industrial Processes|Iron and Steel,Mt CO/yr,
Emissions|CO|Industrial Processes|Metals and Minerals,Mt CO/yr,
Emissions|CO|Industrial Processes|Metals and Minerals,Mt CO/yr,
Emissions|CO|Industrial Processes|Non-Ferrous Metals,Mt CO/yr,
Emissions|CO|Industrial Processes|Non-Ferrous Metals|Aluminun,Mt CO/yr,
Emissions|CO|Industrial Processes|Non-Ferrous Metals|Other,Mt CO/yr,
Emissions|CO|Industrial Processes|Non-Metallic Minerals,Mt CO/yr,
Emissions|CO|Industrial Processes|Non-Metallic Minerals|Cement,Mt CO/yr,
Emissions|CO|Industrial Processes|Non-Metallic Minerals|Lime,Mt CO/yr,
Emissions|CO|Industrial Processes|Non-Metallic Minerals|Other,Mt CO/yr,
Emissions|CO|Industrial Processes|Other Sector,Mt CO/yr,
Emissions|CO|Industrial Processes|Pulp and Paper and Food and Beverage and Wood,Mt CO/yr,
Emissions|CO|Natural,Mt CO/yr,
Emissions|CO|Natural|Other,Mt CO/yr,
Emissions|CO|Natural|Volcanoes,Mt CO/yr,
Emissions|CO|Other,Mt CO/yr,
Emissions|CO|Product Use,Mt CO/yr,
Emissions|CO|Product Use|Non-Energy Use,Mt CO/yr,
Emissions|CO|Product Use|ODS Substitutes,Mt CO/yr,
Emissions|CO|Product Use|Solvents,Mt CO/yr,
Emissions|CO|Product Use|Solvents|Chemical Products,Mt CO/yr,
Emissions|CO|Product Use|Solvents|Degreasing,Mt CO/yr,
Emissions|CO|Product Use|Solvents|Other,Mt CO/yr,
Emissions|CO|Product Use|Solvents|Paint,Mt CO/yr,
Emissions|CO|Waste,Mt CO/yr,
Emissions|CO|Waste|Biological Treatment,Mt CO/yr,
Emissions|CO|Waste|Incineration,Mt CO/yr,
Emissions|CO|Waste|Other,Mt CO/yr,
Emissions|CO|Waste|Solid Waste Disposal,Mt CO/yr,
Emissions|CO|Waste|Wastewater Treatment,Mt CO/yr,
Emissions|CO2,Mt CO2/yr,
Emissions|CO2|AFOLU,Mt CO2/yr,
Emissions|CO2|AFOLU|Afforestation,Mt CO2/yr,
Emissions|CO2|AFOLU|Agriculture,Mt CO2/yr,
Emissions|CO2|AFOLU|Agriculture and Biomass Burning,Mt CO2/yr,
Emissions|CO2|AFOLU|Agriculture|Livestock,Mt CO2/yr,
Emissions|CO2|AFOLU|Agriculture|Livestock|Enteric Fermentation,Mt CO2/yr,
Emissions|CO2|AFOLU|Agriculture|Livestock|Manure Management,Mt CO2/yr,
Emissions|CO2|AFOLU|Agriculture|Managed Soils,Mt CO2/yr,
Emissions|CO2|AFOLU|Agriculture|Other,Mt CO2/yr,
Emissions|CO2|AFOLU|Agriculture|Rice,Mt CO2/yr,
Emissions|CO2|AFOLU|Biomass Burning,Mt CO2/yr,
Emissions|CO2|AFOLU|Deforestation,Mt CO2/yr,
Emissions|CO2|AFOLU|Forest Management,Mt CO2/yr,
Emissions|CO2|AFOLU|Land,Mt CO2/yr,
Emissions|CO2|AFOLU|Land|Cropland,Mt CO2/yr,
Emissions|CO2|AFOLU|Land|Forest,Mt CO2/yr,
Emissions|CO2|AFOLU|Land|Forest Burning,Mt CO2/yr,
Emissions|CO2|AFOLU|Land|Grassland Burning,Mt CO2/yr,
Emissions|CO2|AFOLU|Land|Grassland Pastures,Mt CO2/yr,
Emissions|CO2|AFOLU|Land|Other,Mt CO2/yr,
Emissions|CO2|AFOLU|Land|Other Land,Mt CO2/yr,
Emissions|CO2|AFOLU|Land|Settlements,Mt CO2/yr,
Emissions|CO2|AFOLU|Land|Wetlands,Mt CO2/yr,
Emissions|CO2|AFOLU|Negative,Mt CO2/yr,
Emissions|CO2|AFOLU|Other,Mt CO2/yr,
Emissions|CO2|AFOLU|Other LUC,Mt CO2/yr,
Emissions|CO2|AFOLU|Positive,Mt CO2/yr,
Emissions|CO2|AFOLU|Soil Carbon,Mt CO2/yr,
Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,
Emissions|CO2|Carbon Capture and Storage|Biomass,Mt CO2/yr,
Emissions|CO2|Difference|Statistical,Mt CO2/yr,
Emissions|CO2|Difference|Stock|Activity|Coal,GWyr/yr,
Emissions|CO2|Difference|Stock|Activity|Crudeoil,GWyr/yr,
Emissions|CO2|Difference|Stock|Activity|Fueloil,GWyr/yr,
Emissions|CO2|Difference|Stock|Activity|Lightoil,GWyr/yr,
Emissions|CO2|Difference|Stock|Activity|LNG,GWyr/yr,
Emissions|CO2|Difference|Stock|Activity|Methanol,GWyr/yr,
Emissions|CO2|Difference|Stock|Activity|Natural Gas,GWyr/yr,
Emissions|CO2|Difference|Stock|Coal,Mt CO2/yr,
Emissions|CO2|Difference|Stock|Crudeoil,Mt CO2/yr,
Emissions|CO2|Difference|Stock|Fueloil,Mt CO2/yr,
Emissions|CO2|Difference|Stock|Lightoil,Mt CO2/yr,
Emissions|CO2|Difference|Stock|LNG,Mt CO2/yr,
Emissions|CO2|Difference|Stock|Methanol,Mt CO2/yr,
Emissions|CO2|Difference|Stock|Natural Gas,Mt CO2/yr,
Emissions|CO2|Energy,Mt CO2/yr,
Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,
Emissions|CO2|Energy|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Demand,Mt CO2/yr,
Emissions|CO2|Energy|Demand|AFOFI,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Commercial,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Chemicals,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Construction,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Food and Tobacco,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Iron and Steel,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Machinery,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Mining,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Non-Metallic Minerals,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Other,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Pulp and Paper,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Textile,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Transport Equipment,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Industry|Wood Products,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Other Sector,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Residential,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Aviation,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Aviation|Domestic,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Aviation|International,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Other Sector,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Rail,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Rail and Domestic Shipping,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Road,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Road Rail and Domestic Shipping,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Shipping,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Shipping|Domestic,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Shipping|International,Mt CO2/yr,
Emissions|CO2|Energy|Demand|Transportation|Shipping|International|Loading,Mt CO2/yr,
Emissions|CO2|Energy|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Other,Mt CO2/yr,
Emissions|CO2|Energy|Supply,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Electricity and Heat,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Fuel Production and Transformation,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases and Liquids Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Biomass,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Biomass|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Biomass|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Coal,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Coal|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Coal|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Extraction,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Extraction|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Extraction|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Hydrogen,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Hydrogen|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Hydrogen|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Natural Gas,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Natural Gas|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Natural Gas|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Transportation,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Transportation|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Gases|Transportation|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Heat,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Biomass,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Biomass|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Biomass|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Coal,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Coal|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Coal|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Extraction,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Extraction|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Extraction|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Natural Gas,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Natural Gas|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Natural Gas|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Oil,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Oil|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Oil|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Transportation,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Transportation|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Liquids|Transportation|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Other,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Other|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Other|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids and Other Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Biomass,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Biomass|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Biomass|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Coal,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Coal|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Coal|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Extraction,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Extraction|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Extraction|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Fugitive,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Transportation,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Transportation|Combustion,Mt CO2/yr,
Emissions|CO2|Energy|Supply|Solids|Transportation|Fugitive,Mt CO2/yr,
Emissions|CO2|Fossil Fuel Fires,Mt CO2/yr,
Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,
Emissions|CO2|Industrial Processes,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Chemicals,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Electronics,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Iron and Steel,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Metals and Minerals,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Metals and Minerals,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Non-Ferrous Metals,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Non-Ferrous Metals|Aluminun,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Non-Ferrous Metals|Other,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Non-Metallic Minerals,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Non-Metallic Minerals|Cement,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Non-Metallic Minerals|Lime,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Non-Metallic Minerals|Other,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Other Sector,Mt CO2/yr,
Emissions|CO2|Industrial Processes|Pulp and Paper and Food and Beverage and Wood,Mt CO2/yr,
Emissions|CO2|Natural,Mt CO2/yr,
Emissions|CO2|Natural|Other,Mt CO2/yr,
Emissions|CO2|Natural|Volcanoes,Mt CO2/yr,
Emissions|CO2|Other,Mt CO2/yr,
Emissions|CO2|Product Use,Mt CO2/yr,
Emissions|CO2|Product Use|Non-Energy Use,Mt CO2/yr,
Emissions|CO2|Product Use|ODS Substitutes,Mt CO2/yr,
Emissions|CO2|Product Use|Solvents,Mt CO2/yr,
Emissions|CO2|Product Use|Solvents|Chemical Products,Mt CO2/yr,
Emissions|CO2|Product Use|Solvents|Degreasing,Mt CO2/yr,
Emissions|CO2|Product Use|Solvents|Other,Mt CO2/yr,
Emissions|CO2|Product Use|Solvents|Paint,Mt CO2/yr,
Emissions|CO2|Waste,Mt CO2/yr,
Emissions|CO2|Waste|Biological Treatment,Mt CO2/yr,
Emissions|CO2|Waste|Incineration,Mt CO2/yr,
Emissions|CO2|Waste|Other,Mt CO2/yr,
Emissions|CO2|Waste|Solid Waste Disposal,Mt CO2/yr,
Emissions|CO2|Waste|Wastewater Treatment,Mt CO2/yr,
Emissions|F-Gases,Mt CO2-equiv/yr,"total F-gas emissions, including sulfur hexafluoride (SF6), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) (preferably use 100-year GWPs from AR4 for aggregation of different F-gases; in case other GWPs have been used, please document this on the 'comments' tab)"
Emissions|GHG|Allowance Allocation,Mt CO2-equiv/yr,
Emissions|GHG|International Trading System,Mt CO2-equiv/yr,
Emissions|HFC,kt HFC134a-equiv/yr,"total emissions of hydrofluorocarbons (HFCs), provided as aggregate HFC134a-equivalents"
Emissions|HFC|HFC125,kt HFC125/yr,total emissions of HFC125
Emissions|HFC|HFC134a,kt HFC134a/yr,total emissions of HFC134a
Emissions|HFC|HFC143a,kt HFC143a/yr,total emissions of HFC143a
Emissions|HFC|HFC227ea,kt HFC227ea/yr,total emissions of HFC227ea
Emissions|HFC|HFC23,kt HFC23/yr,total emissions of HFC23
Emissions|HFC|HFC245fa,kt HFC245fa/yr,total emissions of HFC245fa
Emissions|HFC|HFC32,kt HFC32/yr,total emissions of HFC32
Emissions|HFC|HFC43-10,kt HFC43-10/yr,total emissions of HFC343-10
Emissions|Kyoto Gases,Mt CO2-equiv/yr,"total Kyoto GHG emissions, including CO2, CH4, N2O and F-gases (preferably use 100-year GWPs from AR4 for aggregation of different gases; in case other GWPs have been used, please document this on the 'comments' tab)"
Emissions|N2O,kt N2O/yr,
Emissions|N2O|AFOLU,kt N2O/yr,
Emissions|N2O|AFOLU|Agriculture,kt N2O/yr,
Emissions|N2O|AFOLU|Agriculture and Biomass Burning,kt N2O/yr,
Emissions|N2O|AFOLU|Agriculture|Livestock,kt N2O/yr,
Emissions|N2O|AFOLU|Agriculture|Livestock|Enteric Fermentation,kt N2O/yr,
Emissions|N2O|AFOLU|Agriculture|Livestock|Manure Management,kt N2O/yr,
Emissions|N2O|AFOLU|Agriculture|Managed Soils,kt N2O/yr,
Emissions|N2O|AFOLU|Agriculture|Other,kt N2O/yr,
Emissions|N2O|AFOLU|Agriculture|Rice,kt N2O/yr,
Emissions|N2O|AFOLU|Biomass Burning,kt N2O/yr,
Emissions|N2O|AFOLU|Land,kt N2O/yr,
Emissions|N2O|AFOLU|Land|Cropland,kt N2O/yr,
Emissions|N2O|AFOLU|Land|Forest,kt N2O/yr,
Emissions|N2O|AFOLU|Land|Forest Burning,kt N2O/yr,
Emissions|N2O|AFOLU|Land|Grassland Burning,kt N2O/yr,
Emissions|N2O|AFOLU|Land|Grassland Pastures,kt N2O/yr,
Emissions|N2O|AFOLU|Land|Other,kt N2O/yr,
Emissions|N2O|AFOLU|Land|Other Land,kt N2O/yr,
Emissions|N2O|AFOLU|Land|Settlements,kt N2O/yr,
Emissions|N2O|AFOLU|Land|Wetlands,kt N2O/yr,
Emissions|N2O|Energy,kt N2O/yr,
Emissions|N2O|Energy|Combustion,kt N2O/yr,
Emissions|N2O|Energy|Demand,kt N2O/yr,
Emissions|N2O|Energy|Demand|AFOFI,kt N2O/yr,
Emissions|N2O|Energy|Demand|Commercial,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Chemicals,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Construction,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Food and Tobacco,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Iron and Steel,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Machinery,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Mining,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Non-Ferrous Metals,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Non-Metallic Minerals,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Other,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Pulp and Paper,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Textile,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Transport Equipment,kt N2O/yr,
Emissions|N2O|Energy|Demand|Industry|Wood Products,kt N2O/yr,
Emissions|N2O|Energy|Demand|Other Sector,kt N2O/yr,
Emissions|N2O|Energy|Demand|Residential,kt N2O/yr,
Emissions|N2O|Energy|Demand|Residential and Commercial,kt N2O/yr,
Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Aviation,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Aviation|Domestic,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Aviation|International,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Other Sector,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Rail,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Rail and Domestic Shipping,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Road,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Road Rail and Domestic Shipping,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Shipping,kt N2O/yr,
Emissions|N2O|Energy|Demand|Transportation|Shipping|Domestic,kt N2O/yr,
